id,university,grade,name,category,url,hours,price
1,UACH,Magister,Magíster en Informática,Data Science & HPC,http://ingenieria.uach.cl/index.php/postgrado/magister-en-informatica,NA,$3600000
2,UAI,Curso,Big Data para Toma de Decisiones,Business Intelligence,http://www.uai.cl/cursos-y-seminarios/ingenieria-y-ciencias/big-data-para-toma-de-decisiones,NA,$750000
3,UAI,Diplomado,Diplomado Big Data para Políticas Públicas,Data Science,http://www.uai.cl/facultades/diplomado-big-data-para-politicas-publicas,NA,90UF
4,UAI,Diplomado,Diplomado en Inteligencia Artificial,AI,http://www.uai.cl/postgrados-y-diplomas/diploma-en-inteligencia-colectiva,NA,153UF
5,UC,Curso,Herramientas de análisis estadístico para Data Science,Data Science,http://www.educacioncontinua.uc.cl/28436-ficha-herramientas-de-analisis-estadistico-para-data-science,25,$590000
6,UC,Diplomado,Diplomado Big Data,Data Science,https://educacionprofesional.ing.uc.cl/?diplomado=diplomado-big-data,144,$2900000
7,UC,Diplomado,Diplomado Data Science,Data Science,http://www.educacioncontinua.uc.cl/27644-ficha-diplomado-en-data-science,125,$2490000
8,UC,Diplomado,Diplomado en Estadística mención Métodos Estadísticos,Estadistica,http://www.educacioncontinua.uc.cl/28291-ficha-diplomado-en-estadistica-mencion-metodos-estadisticos,200,$1500000
9,UC,Magister,Magíster en Procesamiento y Gestión de la Información,Data Science,http://mpgi.ing.puc.cl,NA,NA
10,UCH,Curso,Data Mining y Aplicaciones en Marketing Digital,Business Intelligence,http://www.eeuchile.cl/programas/data-mining-y-aplicaciones-en-marketing-digital/,24,26UF
11,UCH,Curso,Data Mining y Aplicaciones en Riesgo de Crédito,Business Intelligence,http://www.eeuchile.cl/programas/data-science-y-aplicaciones-en-riesgo-de-credito/,24,26UF
12,UCH,Diplomado,Diplomado Ciencia e Ingenieria de Datos,Data Science,https://www.dcc.uchile.cl/datos,174,150UF
13,UCH,Diplomado,Diplomado en Inteligencia de Negocios,Business Intelligence,http://www.eeuchile.cl/programas/inteligencia-de-negocios/,102,102UF
14,UCV,Diplomado,Diplomado en Big Data y Data Science,Data Science,http://www.inf.ucv.cl/diplomado-en-%E2%80%AA%E2%80%8Ebig-data%E2%80%AC-y-%E2%80%AA%E2%80%8Edata-science%E2%80%AC/,81,$1700000
15,UDD,Diplomado,Diplomado en Data Science,Data Science,http://ingenieria.udd.cl/ver-diplomado/diplomado-en-data-science/,NA,NA
16,UDD,Magister,Magister en Data Science,Data Science,https://datascience.udd.cl,NA,NA
17,USACH,Diplomado,Diplomado en Estadistica mención Minería de Datos,Estadistica,http://www.diplomadoestadistica.usach.cl,160,$2500000
18,UC,Magister,Magister en Estadística,Estadistica,http://www.mat.uc.cl/me.html,NA,NA
