id,university,grade,name,url,hours,price,moneda
1,UACH,Magister,Magíster en Informática,http://ingenieria.uach.cl/index.php/postgrado/magister-en-informatica,NA,3600000,pesos
2,UAI,Curso,Big Data para Toma de Decisiones,http://www.uai.cl/cursos-y-seminarios/ingenieria-y-ciencias/big-data-para-toma-de-decisiones,NA,750000,pesos
3,UAI,Diplomado,Diplomado Big Data para Políticas Públicas,http://www.uai.cl/facultades/diplomado-big-data-para-politicas-publicas,NA,90,uf
4,UAI,Diplomado,Diplomado en Inteligencia Artificial,http://www.uai.cl/postgrados-y-diplomas/diploma-en-inteligencia-colectiva,NA,153,uf
5,UC,Curso,Herramientas de análisis estadístico para Data Science,http://www.educacioncontinua.uc.cl/28436-ficha-herramientas-de-analisis-estadistico-para-data-science,25,590000,pesos
6,UC,Diplomado,Diplomado Big Data,https://educacionprofesional.ing.uc.cl/?diplomado=diplomado-big-data,144,2900000,pesos
7,UC,Diplomado,Diplomado Data Science,http://www.educacioncontinua.uc.cl/27644-ficha-diplomado-en-data-science,125,2490000,pesos
8,UC,Diplomado,Diplomado en Estadística mención Métodos Estadísticos,http://www.educacioncontinua.uc.cl/28291-ficha-diplomado-en-estadistica-mencion-metodos-estadisticos,200,1500000,pesos
9,UC,Magister,Magíster en Procesamiento y Gestión de la Información,http://mpgi.ing.puc.cl,NA,NA,NA
10,UCH,Curso,Data Mining y Aplicaciones en Marketing Digital,http://www.eeuchile.cl/programas/data-mining-y-aplicaciones-en-marketing-digital/,24,26,uf
11,UCH,Curso,Data Mining y Aplicaciones en Riesgo de Crédito,http://www.eeuchile.cl/programas/data-science-y-aplicaciones-en-riesgo-de-credito/,24,26,uf
12,UCH,Diplomado,Diplomado Ciencia e Ingenieria de Datos,https://www.dcc.uchile.cl/datos,174,150,uf
13,UCH,Diplomado,Diplomado en Inteligencia de Negocios,http://www.eeuchile.cl/programas/inteligencia-de-negocios/,102,102,uf
14,UCV,Diplomado,Diplomado en Big Data y Data Science,http://www.inf.ucv.cl/diplomado-en-%E2%80%AA%E2%80%8Ebig-data%E2%80%AC-y-%E2%80%AA%E2%80%8Edata-science%E2%80%AC/,81,1700000,pesos
15,UDD,Diplomado,Diplomado en Data Science,http://ingenieria.udd.cl/ver-diplomado/diplomado-en-data-science/,NA,NA,NA
16,UDD,Magister,Magister en Data Science,https://datascience.udd.cl,NA,NA,NA
17,USACH,Diplomado,Diplomado en Estadistica mención Minería de Datos,http://www.diplomadoestadistica.usach.cl,160,2500000,pesos
18,UC,Magister,Magister en Estadística,http://www.mat.uc.cl/me.html,NA,NA,NA
19,UAI,Magister,Magister en Data Science,http://www.uai.cl/postgrados-y-diplomas/magister-en-data-science,NA,320,uf
20,UC,Magister,Magister en Inteligencia Artificial,https://mia.uc.cl,NA,NA,NA
21,UDLA,Diplomado,Diplomado en Data Science,https://econtinua.udla.cl/diplomado-en-data-science,NA,NA,NA
